RefNum,age,job,marital,education,housing,loan,contact,day,month,duration,deposit,balance
10023467,58,management,married,tertiary,yes,no,,14,may,261,12952.8,385740
10023468,44,technician,single,secondary,yes,no,,12,june,151,396,5220
10023469,33,entrepreneur,married,secondary,yes,yes,,1,july,76,2851.2,360
10023470,47,blue-collar,married,?,yes,no,,6,august,92,2016,271080
10023471,33,,single,?,no,no,,28,september,198,790.2,180
10023472,35,management,married,tertiary,yes,no,,16,october,139,16696.8,41580
10023473,28,management,single,tertiary,yes,yes,,17,november,217,1553.4,80460
10023474,42,entrepreneur,divorced,tertiary,yes,no,,20,december,380,808.2,kk
10023475,58,retired,married,primary,yes,no,,12,january,50,13919.4,21780
10023476,43,technician,single,secondary,yes,no,,2,february,55,20791.8,106740
10023477,41,admin.,divorced,secondary,yes,no,,7,march,222,16860.6,48600
10023478,29,admin.,single,secondary,yes,no,,14,april,137,2512.8,70200
10023479,,technician,married,secondary,yes,no,,10,may,517,1072.8,1080
10023480,58,technician,married,,yes,no,,30,june,71,5572.8,12780
10023481,57,services,married,secondary,yes,no,,21,july,174,10008,29160
10023482,51,retired,married,primary,yes,no,,24,august,353,2835,41220
10023483,45,admin.,single,,yes,no,,3,september,98,1351.8,2340
10023484,57,blue-collar,married,primary,yes,no,,9,october,38,2901.6,9360
10023485,60,retired,married,primary,yes,no,,20,november,219,0,10800
10023486,33,services,married,secondary,yes,no,,23,december,54,0,0
10023487,28,blue-collar,married,secondary,yes,yes,,20,january,262,38995.2,130140
10023488,56,management,married,tertiary,yes,no,,18,february,164,6955.2,140220
10023489,32,blue-collar,single,primary,yes,yes,,9,march,160,1762.2,4140
10023490,25,services,married,secondary,yes,no,,30,april,342,0,9000
10023491,40,retired,married,primary,yes,yes,,5,may,181,0,0
10023492,44,admin.,married,secondary,yes,no,,1,june,172,0,bb
10023493,39,management,single,tertiary,yes,no,,23,july,296,8820,45900
10023494,52,entrepreneur,married,secondary,yes,yes,,18,august,127,0,20340
10023495,46,management,single,secondary,yes,no,,4,september,255,0,-44280
10023496,36,technician,single,secondary,yes,yes,,12,october,348,24501.6,47700
10023497,57,technician,married,secondary,no,yes,,15,november,225,29262.6,151020
10023498,49,management,married,tertiary,yes,no,,15,december,230,6309,68040
10023499,60,admin.,married,secondary,yes,yes,,28,january,208,0,7020
10023500,59,blue-collar,married,secondary,yes,no,,24,february,226,0,0
10023501,51,management,married,tertiary,yes,no,,10,march,336,42532.2,1914300
10023502,57,technician,divorced,secondary,yes,no,,10,april,242,0,11340
10023503,25,blue-collar,married,secondary,yes,no,,5,may,365,0,-1260
10023504,53,technician,married,secondary,no,no,,10,june,1666,0,-540
10023505,36,admin.,divorced,secondary,yes,,,7,july,577,0,91080
10023506,37,admin.,single,secondary,yes,no,,9,august,137,0,0
10023507,44,services,divorced,secondary,yes,no,,7,september,160,18496.8,465480
10023508,50,management,married,secondary,yes,no,,29,october,180,3709.8,8820
10023509,60,blue-collar,married,,yes,no,,16,november,22,12187.8,18720
